Gene_name	Relative_Methylation_Enrichment
Mpp6	2.9067005624934144
Dfna5	5.074517880546715
Osbpl3	4.006082422515501
Cycs	7.159793814432989
5430402O13Rik	3.621349963316216
4921507P07Rik	2.9473684210526314
Npvf	5.8500000000000005
C530044C16Rik	1.9145495479703252
Mir148a	-1.0
Gm6559	3.5084745762711873
Nfe2l3	3.6245378729258015
Hnrnpa2b1	7.372623574144485
Cbx3	4.786088852861214
Snx10	6.931662546627072
Skap2	3.116220617593452
Halr1	36.9
Hotairm1	1.0
Hoxa2	8.333333333333332
Hoxaas2	0.666666666666667
Hoxa3	2.132570162481537
Hoxaas3	-1.0
Hoxa7	0.875
Hoxa9	3.5227272727272743
Mir196b	-1.0
Hoxa10	-0.1333333333333334
Hoxa11	0.0
Hoxa11os	4.666666666666667
Hoxa13	1.0
Hottip	1.5217391304347827
Evx1os	1.3414634146341466
Evx1	0.09523809523809527
1700094M24Rik	5.802469135802469
Hibadh	2.7730317585574236
Tax1bp1	2.2171799266843544
Jazf1	3.5691880994674023
Gm4872	34.4
9430076C15Rik	5.316951628146748
Creb5	5.425118525221104
Tril	1.1250000000000004
Cpvl	4.275542434267823
4921529L05Rik	5.434454168585903
Chn2	2.786280496473351
9130019P16Rik	4.819215323833067
Wipf3	8.373966942148764
Scrn1	8.608055684454756
Fkbp14	3.027524714091878
Plekha8	4.588453653942045
Mturn	11.827449257534484
Znrf2	5.065112598196102
Nod1	6.2194834643814225
Ggct	3.818476499189628
Gars	3.4553402646502818
Crhr2	3.951857075693464
Inmt	2.925925925925926
Fam188b	2.600522579972562
Aqp1	5.260869565217392
Ghrhr	5.888888888888889
6430584L05Rik	40.266666666666666
Adcyap1r1	2.300786998528376
Neurod6	2.0333333333333328
Gm3279	9.295358649789026
Ccdc129	4.64925793033193
Ppp1r17	19.06666666666667
Pde1c	2.3123789966286785
Lsm5	3.9561403508771926
Avl9	3.041681367119812
Kbtbd2	8.532550450347737
Fkbp9	5.077875075926302
Nt5c3	3.7491500369549158
Vmn1r4	-0.2
Vmn1r5	-0.25
Vmn1r7	0.07142857142857156
Vmn1r8	5.749999999999997
Vmn1r11	1.2499999999999991
Vmn1r13	1.5
Vmn1r14	1.4166666666666665
Vmn1r15	2.0
Ppm1k	2.8302658849215674
Herc6	2.9216367020094047
Pyurf	1.5050847457627121
Lancl2	2.7391304347826093
Vopp1	6.068942276283535
Vmn1r27	-0.3333333333333333
Vmn1r29	0.0
Vmn1r30	3.0
Abcg2	5.042874909457024
Herc3	1.886220817448488
Fam13a	5.2394953254839685
Tigd2	0.8951612903225804
